id,winery_id,name,product_url,description,datasheet_url,grape_varieties,operating_temperature,ageing_potential,aging,reserve_wines,dosage,crus_assembles,created_at
11,1,le ciergelot - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-ciergelot-2020/,"Les meuniers de cette cuvée proviennent d’une seule et même parcelle, Le Ciergelot, située au cœur de la Vallée de la Marne, à Verneuil. Située à mi coteau et plantée en 1969, la parcelle historique de la maison, ZD214, s’étend sur 80 ares et bénéficie d’un sol argilo-calcaire modéré.",https://www.josephperrier.com/wp-content/uploads/2024/09/JOSEPH-PERRIER_Fiche_Degustation_LECIERGELOT-1.pdf,,,,36 mois,,0g/L,"Le Ciergelot ZD214 – Verneuil – Vallée de la Marne. Située à mi-coteau, les vignes trouvent leurs racines dans un sol argilo-calcaire modéré.",2026-04-06 04:03:33
12,1,Cuvée 200 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-200/,"Nos Cuvée Royale Vintage incarnent avec fraîcheur et finesse le climat intense et excessif de leurs années de vendange respective. Le millésime 2015 se distingue par la fraîcheur du chardonnay mêlée à la richesse du pinot noir, subtilement équilibré par un dosage délicat.",https://www.josephperrier.com/wp-content/uploads/2025/01/JOSEPH-PERRIER_Fiche_Degustation_CUVEE200ANS-FR-OK.pdf,"Chardonnay 50%, Pinot Noir 50%",,,96 mois,,3g/L,Nous avons sélectionné les meilleurs chardonnays des vignobles de Cumières (premier cru) et de Chouilly (grand cru). Le pinot noir provient du terroir grand cru d’Ambonnay.,2026-04-06 04:03:36
13,1,Joséphine 2004 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/josephine-2004/,"Made exclusively from Premier and Grand Cru grapes, Cuvée Joséphine has spent 7 years in the cellar to create a legendary cuvée. It combines vinosity and finesse. A great champagne for a long-ageing vintage. This cuvée de Prestige comes in an elegant bottle silk-screened in fine gold, housed in a [...]",https://www.josephperrier.com/wp-content/uploads/2025/03/Fiche-de-degustation-Josephine-2004-Francais.webp,"Chardonnay 52%, Pinot Noir 48%",08-10°,Until 2030,108 months,,7g/L,"Vertus, Chouilly, Cumières, Mailly and le Mesnil sur Oger.",2026-04-06 04:03:42
14,1,Joséphine 2008 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/josephine-2008/,Le froid a marqué de son sceau l’année 2008 jusqu’à la fin du mois de décembre. L’hiver qui perdurait retarda le débourrement des vignes. Le mois d’avril vit le retour des températures positives ainsi que des précipitations qui favorisèrent une floraison exceptionnelle. Les deux mois d’été furent chauds et pluvieux. Les vendanges commencèrent le 15 […],https://www.josephperrier.com/wp-content/uploads/2025/03/Josephine-2008-FR.pdf,"Chardonnay 54%, Pinot Noir 46%",,,108 mois,,5g/L,"Avize, Vertus, Chouilly, Cumières, Mailly et le Mesnil sur Oger.",2026-04-06 04:03:44
15,1,Joséphine 2012 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/josephine-2012/,"The combination of the minerality of the great Chardonnays and the structure of the great Pinots, sublimated by a few bunches of Cumières, reveals this magnificent wine from an aromatic, very fine vintage. A sure-fire favorite!",https://www.josephperrier.com/wp-content/uploads/2025/03/Josephine-2012-FR.pdf,"Chardonnay 45%, Pinot Noir 55%",10-12°,Until 2038,108 months,,5g/L,"Ambonnay, Sacy, Cumières, Bergères-lès-Vertus.",2026-04-06 04:03:54
16,1,Joséphine 2014 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/josephine-2014/,"À l'aube de ses 200 ans, la maison Joseph Perrier révèle le nouveau décor de sa mythique cuvée Joséphine. Ce nouvel écrin est à la hauteur du remarquable millésime 2014 qui mêle puissance et élégance. Pensé comme un bijou précieux, le flacon de la Joséphine est à l'image de la qualité du vin qu'il renferme : inoubliable.",https://www.josephperrier.com/wp-content/uploads/2023/04/JOSEPH_PERRIER_Fiche_Degustation_JOSEPHINE_2014.pdf,"Chardonnay 60%, Pinot Noir 40%",,,108 mois,,5g/L,"Ambonnay, Sacy, Cumières, Bergères-lès-Vertus, Le Mesnil-sur-Oger.",2026-04-06 04:03:57
17,1,Joséphine 2014 x Jordane Saget - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/josephine-2014-x-jordane-saget/,"To mark the 175th anniversary of Joséphine Perrier's marriage, the company has created an original packaging for the 2014 vintage of its prestigious cuvée. The company teamed up with Jordane Saget, a talented contemporary artist. Never one to discontinue with the past, the artist naturally ran his lines along the historic decor of this iconic cuvée.",https://www.josephperrier.com/wp-content/uploads/2025/03/Josephine-2014-X-Jordane-Saget-FR.pdf,"Chardonnay 60%, Pinot Noir 40%",10-12°,Until 2040,108 months,,5g/L,"Ambonnay, Sacy, Cumières, Bergères-lès-Vertus, Le Mesnil-sur-Oger.",2026-04-06 04:04:00
18,1,La Côte à Bras 2008 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2008/,"One plot, one grape variety, one year, one wine. Our 100% pinot noir parcellaire from our family plot in Cumières is a gourmet revelation of the miraculous 2008 harvest.",,Pinot Noir 100%,10-12°C,5 to 10 years,108 months,,0g/L,La Côte à Bras.,2026-04-06 04:04:03
19,1,La Côte à Bras 2009 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2009/,"Une parcelle, un cépage, une année, un vin. Notre parcellaire 100% pinot noir issu de notre parcelle familiale de Cumières révèle avec gourmandise la vendange miraculée de 2009.",,Pinot Noir 100%,,,108 mois,,0g/L,La Côte à Bras.,2026-04-06 04:04:06
20,1,La Côte à Bras 2010 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2010/,"One plot, one grape variety, one year, one wine. Our 100% pinot noir parcellaire from our family plot in Cumières reveals the 2010 miraculous harvest.",,Pinot Noir 100%,10-12°C,5 to 10 years,108 months,,0g/L,La Côte à Bras.,2026-04-06 04:04:10
21,1,La Côte à Bras 2011 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2011/,"One plot, one grape variety, one year, one wine. Our 100% pinot noir parcellaire from our family plot in Cumières reveals the gourmet qualities of the miraculous 2012 harvest.",,Pinot Noir 100%,10-12°C,5 to 10 years,108 months,,0g/L,La Côte à Bras.,2026-04-06 04:04:14
22,1,La Côte à Bras 2012 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2012/,"Une parcelle, un cépage, une année, un vin. Notre parcellaire 100% pinot noir issu de notre parcelle familiale de Cumières révèle avec gourmandise la vendange de 2012.",https://www.josephperrier.com/wp-content/uploads/2025/03/La-Cote-a-Bras-2012-FR.pdf,Pinot Noir 100%,,,108 mois,,0g/L,La Côte à Bras.,2026-04-06 04:04:16
23,1,La Côte à Bras 2013 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2013/,"One plot, one grape variety, one year, one wine. Our 100% pinot noir parcellaire from our family plot in Cumières reveals the gourmet qualities of the miraculous 2013 harvest.",https://www.josephperrier.com/wp-content/uploads/2025/03/La-Cote-a-Bras-2013-FR.pdf,Pinot Noir 100%,10-12°C,5 to 10 years,108 months,,0g/L,La Côte à Bras.,2026-04-06 04:04:20
24,1,La Côte à Bras 2014 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2014/,"One plot, one grape variety, one year, one wine. Our 100% pinot noir parcellaire from our family plot in Cumières greedily reveals the 2014 harvest.",https://www.josephperrier.com/wp-content/uploads/2025/03/La-Cote-a-Bras-2014-FR.pdf,Pinot Noir 100%,10-12°C,5 to 10 years,108 months,,0g/L,La Côte à Bras.,2026-04-06 04:04:24
25,1,La Côte à Bras - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2015/,"Une parcelle, un cépage, une année, un vin. Notre parcellaire 100% pinot noir issu de notre parcelle familiale de Cumières révèle avec gourmandise la vendange miraculée de 2016.",https://www.josephperrier.com/wp-content/uploads/2023/02/15042025_JOSEPH-PERRIER_Fiche_Degustation_CAB-VINTAGE-2016-1.pdf,Pinot Noir 100%,,,108 mois,,0g/L,La Côte à Bras.,2026-04-06 04:04:28
26,1,La Côte à Bras - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2016/,"Une parcelle, un cépage, une année, un vin. Notre parcellaire 100% pinot noir issu de notre parcelle familiale de Cumières révèle avec gourmandise la vendange miraculée de 2016.",https://www.josephperrier.com/wp-content/uploads/2023/02/15042025_JOSEPH-PERRIER_Fiche_Degustation_CAB-VINTAGE-2016-1.pdf,Pinot Noir 100%,,,108 mois,,0g/L,La Côte à Bras.,2026-04-06 04:04:31
